author	comment	vote
huyouyou	探讨种族冲突、文化冲突，更探讨了下一代人和上一代人的冲突，无论是上一代黑帮和新生代黑帮，还是上一代白人警察和下一代黑人，冲突不因一代人消逝而湮灭，反而愈演愈烈。#20200406	0
猪头妖怪	写实，简洁，有力。点到即止，剩下的就全部交给观众自己了。	0
海樹	一开始还以为是个加了斯坦尼康和无人机的“巴黎片警故事",但后面的展开就很法国了………最后这故事居然能担得起这个片名，实在是佩服。唯一觉得处理得不太好得是转折点那场戏（就大佬齐聚开堂会那里）。一看居然还是处女座……果然又是个纪录片出身的……这种拍摄手法的法国片每隔几年就有一个在戛纳刷榜的吧，但为什么没看到影评人把他们当成一种流派介绍？（当然也可能是因为不怎么看影评……）	0
大聪看电影	暴力之树的源头在哪，我们不得而知，但我们看到了滋生暴力的愤怒来自于在自己同温层内的精神压力。
《悲惨世界》并不想讨论怒火的源头，而是在商讨怒火的控制，大背头就像火场中的一滴水，渺小到几乎要被怒火蒸发，水滴本以为控制了怒火，但最终导致了怒火的聚变，终将变成一场悲剧。	3
matchbox	视听和调度无可挑剔，结尾的留白也很妙，迟来的年度前五。	0
AshBoydSwan	略有debut的做作，尤其台词，但拍得足够好看，煽动性也很强，所以情绪代入很快。很喜欢前半段，把每个人物都拍得好像身处动物园的困兽。小狮崽敲可爱！	1
金桔派	所有愤怒的核心是需求没有被满足。—— 马歇尔·卢森堡 《非暴力沟通》	1
山上风下	太有张力了	0
琧婯	93省去过很多次了，但主要是途经，没住过，肯定是不敢住啊，哈哈，谁还不知道那里乱啊。这片可以说是一个当地日常的完美呈现，比较符合现实。这是移民融入失败的一个典型反例，需要从中吸取教训。其实我觉得没必要用雨果的悲惨世界名头去套这个，有点文不对题故意拔高了，你电影名就叫93省，我觉得挺好。	0
超人叔叔	戛纳同步@SIFF2019	0
陶子冬	了解法国的另外一面	0
江户川歌磨	就改编和完成度而言，确实没话说。从内核、细节、镜头调度和表演来说都相当有力，值得一看。最大的问题可能是前一个小时和后半小时的风格割裂，为了强行升华结局。有些细节冲突大可不必——比如用无人机偷看女孩被女孩发现一场戏，在后面的戏份里没有着力点，就轻飘飘的造成了割裂感。但新瓶装旧酒能翻新到这个程度，还是太令人惊喜。	0
女神的秋裤	处女作来说已经不错了，不稳定的镜头呈现出一个躁动不安的世界，无数人的命运被一个孩子联系在一起，各色人种在不安与对立中挤兑出更多的冲突，在混沌的夹缝中成长的年轻一代最后只是学会愤怒和暴力，文明土崩瓦解，只剩下野蛮的悲惨世界。	0
飛了	法國越來越多這種以紀實性電影的方式展現社會和政治問題的影片了，時間都壓縮在很有限的區間內，都需要完成（或遇到）幾乎無法完成的（或幾近失控的）任務或局面，混雜（裹挾）多重元素在其中，通過對話推動事件，通過節奏增強衝突，本片調度和情節設計都非常強，很驚人的處女作，反倒是結尾收在對峙的場景有些故弄玄虛了。	0
刘小流	巴黎不浪漫罪名	0
陈好康	#2019金马No.14 带着三星的预期走进影院，竟然十分惊艳！影片对于移民种族问题所选取的叙事角度和立场设置在同类型题材中可谓新颖，时间设定在一个初来乍到的警察新上任的几天之内，没有详细交代各人物的前史也不浪费笔墨讲述各社团势力之间的消长关系，就像只撷取了黑人聚居区喧嚣混乱的片段日常。开头法国世界杯夺冠的热闹场面营造了一个民族融合的博爱社会图景，然而镜头一转便拉开了种族信仰派别等冲突无所不在的舞台。最惊艳的片段是二三幕之间，警员在奔波一日后回到各自的家中，与家属们的平静互动；无论处于什么身份立场，你我皆凡人，活在尘世中罢了。但这是暴风雨前的宁静，随后的冲突才是高潮影片意旨，黑人少年们对抗的不仅是警员们所代表的「另一边」，他们同样要推翻内部的旧父权，建立属于自己的时代，结尾戛然而止也振聋发聩	1
Zcc911	Les.Miserables.2019.FRENCH.1080p.BluRay.DTS.x264-UTT	0
一朵潛水云	序場是字卡與世界盃穿插的畫面，當群眾聚在凱旋門前慶祝法國取得世界盃冠軍時，所響起配樂竟是憂傷的。不約而同近幾年關於描述當代法國社會題材的短片/電影都有一種憂傷的情緒。這種不斷被堆疊、被壓止的憤怒情緒找不到釋放口。上樑不正下樑歪，這種正是影片所要展示問題的根源。在處理衝突完結後回家後的情緒梳理的效果還意外的不錯，本以為會變得落俗或者不處理。但一開始的鏡頭隨意縮放風格不是太喜歡。以及個別航拍鏡頭的應用有點隨意。★★★☆	0
水包酱	一头一尾 满街飞扬三色旗高唱马赛曲的团结盛世与硝烟弥漫剑拔弩张千钧一发的暴力对峙 形成巨大的撕裂感	2
一一	三星半。相互谅解是永远不可能的，起码在人类存在史中。	1
RioLiv	不错，好看，非常棒的叙述和冲突，就是中间节奏突然慢下来的那五分钟有点太拖太没意义了，其他之外还是很优秀的，剧本摄影表演都好出色。	1
梅花野老	人之初，性本恶。就算他只是孩子，依然是一个坏孩子。开放式的结尾，我更倾向于小孩倾泻了自己的满腔怒火。警察或许会生，也许会死。关于种族，没人歧视你，用中国的老话来说，面子是自己争取的。黑人想要真正崛起，绝不是依靠愤怒。否则，黑人就是坏的庄稼，坏的人。	0
cocojamboo	法国某些区的真实情况么？欧洲这样下去会怎样？又想到神剧《火线》里的那些娃儿了，三星半	0
